Year,Make ,Model,Price Carbon,Price Ceramic,Front Carbon,Front Ceramic,Back Carbon,Back Ceramic
,Mazda,Miata,180,280,100,150,130,190
,Mazda ,MX5,180,280,100,150,170,260
,Mazda,Protege,200,280,100,150,170,260
,McLaren ,720S,300,400,170,200,260,350
,McLaren ,570,260,360,170,200,200,300
,McLaren,GT,375,475,170,200,260,350
,Mercedes,A200,200,280,100,150,170,260
,Mercedes,A220,200,280,100,150,170,260
,Mercedes,AMG C63 S,200,280,100,150,170,270
,Mercedes,AMG G63,350,450,120,170,280,380
,Mercedes,AMG GLE 53 coupe,330,430,100,150,280,380
,Mercedes,AMG GT,250,350,100,150,170,230
,Mercedes,AMG GT Black series,280,380,170,200,220,320
,Mercedes,AMG GT 43,280,380,170,200,220,320
,Mercedes,AMG GT 63s,280,380,170,200,220,320
,Mercedes,C230,200,280,100,150,170,260
,Mercedes,c260,180,280,100,150,120,190
,Mercedes,c260,200,280,100,150,170,260
2020,Mercedes,C300,200,280,100,150,170,260
,Mercedes,C300,160,260,100,150,120,190
,Mercedes,c330,200,300,100,150,120,190
,Mercedes,c43,200,280,100,150,170,260
,Mercedes,cla 260,200,280,100,150,170,260
,Mercedes,cls450,200,280,100,150,180,260
,Mercedes,cls550,200,280,100,150,180,260
,Mercedes,E43,200,280,100,150,180,260
2021,Mercedes,E 300,200,280,100,150,175,260
,Mercedes,E 300,200,280,100,150,180,260
,Mercedes,E 320,225,325,100,150,200,300
,Mercedes,E 350,200,280,100,150,180,260
2010,Mercedes,E350 coupe,200,300,100,150,180,260
,Mercedes,E 350 convertible,200,280,100,150,180,260
,Mercedes,E400,225,325,100,150,200,300
,Mercedes,E450,200,300,100,150,180,230
,Mercedes,E53,180,280,100,150,170,260
,Mercedes,EQB,330,430,100,150,280,380
,Mercedes,EQE,330,430,120,170,260,360
,Mercedes,EQS,330,430,120,170,260,360
,Mercedes,EQS 450,330,430,120,170,280,380
,Mercedes,EQV,330,430,120,170,280,380
,Mercedes,G-Wagon,325,425,120,170,275,375
,Mercedes,GL 350,300,400,100,150,260,350
,Mercedes,GLA,225,325,100,150,195,275
2024,Mercedes,GLA 250,250,350,100,150,225,325
,Mercedes,GLB,260,360,120,170,220,320
,Mercedes,GLC 300 coupe,260,360,100,150,220,320
,Mercedes,Maybach GLC 600,330,430,170,200,290,390
,Mercedes,GLE 53 AMG  coupe,330,430,100,150,280,280
,Mercedes,GLE 350,260,360,100,150,225,300
2010,Mercedes,GLK 350,260,360,100,150,220,320
,Mercedes,GLS 450,330,430,120,170,280,350
,Mercedes,GLS 580,330,430,170,200,300,400
,Mercedes,Metris,300,400,170,200,260,340
,Mercedes,MPV,300,400,120,170,260,340
,Mercedes ,s450,260,360,170,200,200,300
,Mercedes,s550,260,360,170,200,200,300
,Mercedes,s560,260,360,170,200,200,300
,Mercedes,s560 coupe,240,340,170,200,200,280
,Mercedes,S580,260,360,170,200,200,300
,Mercedes ,s63,260,360,170,200,200,300
,Mercedes ,s63 coupe,240,340,100,150,170,300
,Mercedes,S 650 Maybach,275,375,170,200,200,300
,Mercedes,SL450,240,340,100,150,200,275
,Mercedes ,SL 550,240,340,100,150,200,275
,Mercedes,SLK 300,180,280,100,150,130,200
2019,Mercedes,Sprinter,500,600,170,220,400,500
,Mini ,Cooper,200,280,100,150,170,260
,Mini ,Cooper,180,280,100,150,130,200
2012,Mini Cooper,countryman,225,325,100,150,175,250
2017,Mini cooper,clubman,225,325,100,150,200,300
,Mitsubishi,Eclipse,180,280,100,150,130,200
,Mitsubishi,galant,200,280,100,150,170,260
,Mitsubishi,Outlander,225,325,100,150,195,275
1996,Mitsubishi,Montero,290,390,100,150,250,350
2007,Nissan,350z convertible,200,300,100,150,130,200
,Nissan,370z,180,280,100,150,100,170
,Nissan,Altima,180,280,100,150,130,200
,Nissan,Altima,200,280,100,150,170,260
,Nissan,Ariya,225,325,100,150,175,250
,Nissan ,Armada,260,360,100,150,220,320
,Nissan,Cube,260,360,100,150,200,300
,Nissan ,Frontier,200,280,100,150,170,260
,Nissan ,Frontier,210,310,100,150,180,260
2022,Nissan ,Frontier,210,310,100,150,180,260
2019,Nissan,Frontier pro,225,325,120,170,200,300
,Nissan,Xterra,260,360,100,150,220,320
,Nissan,Juke,200,300,100,150,170,240
,Nissan,Kicks,225,325,100,150,195,275
,Nissan,Leaf,200,300,120,170,170,260
,Nissan,Maxima,200,280,100,150,170,260
,Nissan,NV3500,400,500,100,150,350,450
,Nissan,Note,200,300,120,170,170,260
,Nissan,Pathfinder,225,325,100,150,220,320
,Nissan,Rogue,225,325,100,150,195,275
,Nissan,Sentra,200,280,100,150,170,260
,Nissan,Titan,220,320,100,150,180,260
,Nissan,Versa,200,300,100,150,170,260
2002,Oldsmobile,Alero,200,280,100,150,170,260
,Polestar,2,350,450,170,200,300,400
,Pontiac,Vibe,200,280,100,150,170,250
,Porsche,911 Carrera,240,340,170,200,200,280
,Porsche,Cayenne,330,430,170,200,300,380
,Porsche,Cayman,225,325,100,150,180,200
2019,Porsche,Panamera,325,425,170,200,285,385
,Porsche,Macan,260,360,120,270,220,320
,Porsche,Taycan,260,360,170,200,220,320
2002,Porsche,Boxter,200,300,100,150,130,200
,Rivian ,R1T,280,280,170,200,260,350
,Rivian ,R1S,350,450,170,200,300,400
2023,Rivian ,R1S,350,450,170,200,300,400
,Rolls Royce,hard top,400,500,170,200,350,425
,Rolls Royce,convertible,350,450,170,200,300,400
,Rolls Royce,Ghost,400,500,170,200,350,425
,Rolls Royce,Cullinan,450,550,170,200,400,500
,Saturn,Aura,200,280,100,150,170,260
,Scion,FRS,200,280,120,170,130,200
,Scion,IM,200,280,100,150,170,260
,scion,IQ,180,280,100,150,130,200
,Scion,TC,200,280,100,150,130,200
,Scion,XB,225,325,100,150,170,260
,Subaru,Ascent,260,360,120,170,220,320
,Subaru,BRZ,200,300,120,170,130,200
,Subaru,Crosstrek,280,380,120,170,250,350
,Subaru,Forester,260,360,120,170,220,320
,Subaru,Impresza sedan,220,320,120,170,170,260
,Subaru,Impreza hatchback,280,380,120,170,230,330
,Subaru,Legacy,220,320,120,170,170,260
2024,Subaru,Solterra,250,350,120,170,200,300
2005,Subaru,Outback,260,360,100,150,220,320
,Subaru,Outback,280,380,120,170,260,360
,Subaru,Wilderness,280,380,120,170,260,360
,subaru,WRX,220,320,120,170,170,260
2005,subaru,WRX STI,200,280,100,150,170,260
2003,Subaru,WRX,225,325,100,150,200,300
2000,Suzuki ,Grand Vatara,260,360,100,150,220,320
,Tesla,Model S,220,320,120,170,170,260
,Tesla ,Model Y,300,400,100,150,260,350
,Toyota,Avalon,200,280,100,150,170,260
,Toyota,86,180,280,100,150,130,200
,Toyota,GR86,200,280,120,170,130,200
,Toyota,4Runner,400,500,100,150,350,450
,Toyota,Camry,200,280,100,150,170,260
2001,Toyota,Celica,200,280,100,150,130,200
,Toyota,CHR,225,325,120,170,195,275
2019,Toyota,Corolla,200,280,100,150,180,260
2020,Toyota,Corolla,220,300,120,170,180,260
2022,Toyota,Corolla Cross,280,380,120,170,250,350
2019,Toyota,Corolla Hatchback,220,320,120,170,170,260
,Toyota,Crown,200,280,100,150,150,225
,Toyota,FJ Cruiser,260,360,100,150,220,320
,Toyota,FRS,200,280,120,170,130,200
,Toyota,Highlander,280,380,100,150,220,320
,Toyota,iM hatchback,200,300,100,150,170,260
2003,Toyota,Matrix,250,350,100,150,170,260
2009,Toyota,Matrix,190,290,100,150,180,270
2022,Toyota,Mirai,220,320,120,170,200,280
,Toyota ,Mirai,220,320,120,170,180,260
2024,Toyota,Prius,220,320,120,170,170,240
2023,Toyota,Prius,220,320,120,170,170,240
,Toyota,Prius C,220,320,120,170,170,240
,Toyota,Prius V,220,320,120,170,170,240
,Toyota,Prius Prime,240,340,120,170,200,280
2023,Toyota,Prius,220,320,120,170,170,240
2019,Toyota,Rav 4,280,380,120,170,250,350
,Toyota,Rav 4,260,360,120,170,220,320
,Toyota,Scion IA,200,280,100,150,130,200
,Toyota,Scion XA,200,280,100,150,170,260
,Toyota ,Sequoia,260,360,100,150,220,320
2021,Toyota,Sienna,280,380,120,170,220,320
2000,Toyota,Sienna,260,360,100,150,220,320
,Toyota ,Solara,180,280,100,150,130,200
,Toyota ,Supra,180,280,100,150,130,200
2022,Toyota,Tacoma,200,300,100,150,170,260
,Toyota,Tacoma,200,300,100,150,170,260
,Toyota,Tundra,200,280,100,150,170,260
,Toyota,Tundra,200,300,100,150,170,260
,Toyota,Venza,260,360,120,170,225,325
,Toyota ,Yaris,200,280,120,170,180,260
2008,Toyota ,Yaris,200,300,120,170,100,175
,Volkswagen,Arteon,200,280,100,150,180,260
,Volkswagen,Atlas,260,360,100,150,220,320
,Volkswagen,cc,200,280,100,150,180,260
2010,Volkswagen,cc,210,310,100,150,180,260
,Volkswagen,Golf GTI,200,300,120,170,180,260
,Volkswagen,GTI,180,280,100,150,130,200
,Volkswagen,Jetta,200,280,100,150,180,260
,Volkswagen,Jetta wagon,260,360,100,150,200,300
,Volkswagen,Passat,200,280,100,150,180,260
,Volkswagen,Tiguan,280,280,120,170,260,325
,Volkswagen,Taos,225,325,100,150,195,275
,Volkswagen,r-line ,225,325,100,150,195,275
,Volkswagen,ID 4,280,380,120,170,250,350
,Volvo,S40,200,280,100,150,180,260
,Volvo,c40,225,325,100,150,200,280
,Volvo,v40,225,325,100,150,200,280
,Volvo,V60,260,360,100,150,200,300
,Volvo,x60,225,325,100,150,195,275
,Volvo,xc60,225,325,100,150,195,275
,Volvo,xc90,260,360,100,150,220,320
,Volvo,S90,200,280,100,150,180,260
,Volvo,S60,200,280,100,150,180,260
