auto_id,Year,Make,Model,Full Carbon,Full Ceramic,Front Carbon,Front Ceramic,Back Carbon,Back Ceramic
242,Other,Jeep,Rubicon,250,350,120,170,220,320
243,Other,Jeep,Wrangler,250,350,100,150,200,300
244,Other,Jeep,Grand Wagoneer,340,440,170,200,325,425
245,Other,Karma,Revero,260,360,170,200,200,300
246,Other,Kia,Cadenza,200,280,100,150,170,260
247,Other,kia,Carnival,250,350,120,170,220,320
248,Other,Kia,EV6,225,325,100,150,195,275
249,2019,Kia,Forte,200,280,100,150,170,260
250,2018,Kia,Forte,200,300,120,170,170,260
251,Other,Kia,Niro Ex,225,325,100,150,195,275
252,Other,Kia,Optima,200,280,100,150,170,260
253,Other,Kia,K5,220,320,120,170,170,260
254,Other,Kia,Rio,200,280,100,150,170,260
255,Other,Kia,Sedona,280,380,120,170,240,340
256,2021,Kia,Seltos,225,325,100,150,195,275
257,Other,Kia,Spectra,200,280,100,150,170,260
258,2023,Kia,Sportage,250,350,120,170,220,320
259,Other,Kia,Sport,225,325,100,150,195,275
260,Other,Kia,Sorrento,250,350,120,170,220,320
261,Other,Kia,Soul,200,280,100,150,170,260
262,Other,Kia,Stinger,200,280,100,150,170,260
263,Other,Kia,Telluride,260,360,100,150,220,320
264,Other,Land Rover,Defender,260,360,100,150,220,320
265,Other,Land Rover,Discovery Sport,250,350,100,150,220,320
266,Other,Land Rover,Range Rover,340,440,170,200,325,400
267,2022,Land Rover,Range Rover,350,450,170,200,325,400
268,Other,Land Rover,Range Rover Evoque,260,360,100,150,225,325
269,Other,Land Rover,Range Rover Sport,340,440,120,170,325,425
270,Other,Land Rover,Range Rover Velar,300,400,120,170,260,360
271,Other,Lamborghini,Aventador,400,500,170,200,350,425
272,Other,Lamborghini,Urus,360,460,170,200,325,425
273,Other,Lexus,CT 200h,200,300,120,170,170,260
274,Other,Lexus,200t,200,280,100,150,170,260
275,2000,Lexus,es300,200,300,100,150,170,260
276,2020,Lexus,es300h,200,280,120,170,170,260
277,2022,Lexus,es300h,200,280,120,170,170,260
278,Other,Lexus,es350,200,280,120,170,170,260
279,Other,Lexus,G460,250,350,120,170,220,320
280,Other,Lexus,GS,200,280,100,150,170,260
281,Other,Lexus,GX,260,360,100,150,220,320
282,Other,Lexus,HS 260h,200,300,120,170,170,260
283,2014,Lexus,is260,200,280,120,170,170,260
284,Other,Lexus,is300,200,280,100,150,170,260
285,2018,Lexus,is300,200,300,120,170,170,260
286,Other,Lexus,IS 350,200,280,120,170,170,260
287,Other,Lexus,LC 500,260,360,170,200,220,300
288,Other,Lexus,LX,260,360,120,170,220,320
289,Other,Lexus,LS 430,200,280,100,150,170,260
290,Other,Lexus,LS 460,200,280,120,170,170,260
291,Other,Lexus,LX570,340,440,170,200,300,400
292,2016,Lexus,NX 200,250,325,120,170,195,275
293,Other,Lexus,NX 300,250,350,120,170,200,300
294,Other,Lexus,nx350,250,350,120,170,225,325
295,Other,Lexus,RC,180,280,100,150,120,190
296,Other,Lexus,RX 350 & 450,250,350,120,170,195,275
297,Other,Lexus,RZ450e,250,350,120,170,195,275
298,Other,Lexus,sc300,180,280,100,150,120,190
299,Other,Lexus,sc400,180,280,100,150,120,190
300,Other,Lexus,TX,250,350,100,150,225,300
301,Other,Lexus,UX 200 or 260h,250,350,120,170,195,275
302,Other,Lincoln,Aviator,250,350,100,150,220,320
303,Other,Lincoln,MKC,250,350,120,170,200,300
304,Other,Lincoln,MKS,200,280,100,150,170,260
305,Other,Lincoln,MKZ,200,300,120,170,180,260
306,Other,Lincoln,Navigator,250,350,100,150,220,320
307,2024,Lincoln,Nautilus,250,350,100,150,200,300
308,Other,Lincoln,Nautilus,250,350,120,170,220,320
309,Other,Lincoln,Town car,200,280,100,150,170,260
310,Other,Lucid,Air,325,425,170,200,260,300
311,Other,Maserati,Ghibl,280,380,100,150,225,325
312,Other,Masarati,Grecale,325,425,100,150,275,360
313,Other,Masarati,Levante,325,425,100,150,275,360
314,Other,Masarati,Quattroporte,280,380,100,150,250,330
315,Other,Mazda,2,200,280,100,150,170,260
316,Other,Mazda,3,200,280,100,150,170,260
317,Other,Mazda,3 Hatchback,200,300,100,150,180,260
318,2009,Mazda,5,300,400,120,170,260,360
319,Other,Mazda,5 sport b,225,325,100,150,170,260
320,Other,Mazda,6,200,280,100,150,170,260
321,Other,Mazda,a45,200,280,100,150,170,260
322,Other,Mazda,CX3,225,325,100,150,195,275
323,Other,Mazda,CX5,225,325,100,150,195,275
324,Other,Mazda,cx7,225,325,100,150,195,275
325,Other,Mazda,cx9,225,325,100,150,195,275
326,Other,Mazda,Miata,180,280,100,150,130,190
327,Other,Mazda,MX5,180,280,100,150,170,260
328,Other,Mazda,Protege,200,280,100,150,170,260
329,Other,McLaren,720S,300,400,170,200,260,350
330,Other,McLaren,570,260,360,170,200,200,300
331,Other,McLaren,GT,375,475,170,200,260,350
332,Other,Mercedes,A200,200,280,100,150,170,260
333,Other,Mercedes,A220,200,280,100,150,170,260
334,Other,Mercedes,AMG C63 S,200,280,100,150,170,270
335,Other,Mercedes,AMG G63,350,450,120,170,280,380
336,Other,Mercedes,AMG GLE 53 coupe,330,430,100,150,280,380
337,Other,Mercedes,AMG GT,250,350,100,150,170,230
338,Other,Mercedes,AMG GT Black series,280,380,170,200,220,320
339,Other,Mercedes,AMG GT 43,280,380,170,200,220,320
340,Other,Mercedes,AMG GT 63s,280,380,170,200,220,320
341,Other,Mercedes,C230,200,280,100,150,170,260
342,Other,Mercedes,c260,180,280,100,150,120,190
343,2020,Mercedes,C300,200,280,100,150,170,260
344,Other,Mercedes,C300,160,260,100,150,120,190
345,Other,Mercedes,c330,200,300,100,150,120,190
346,Other,Mercedes,c43,200,280,100,150,170,260
347,Other,Mercedes,cla 260,200,280,100,150,170,260
348,Other,Mercedes,cls450,200,280,100,150,180,260
349,Other,Mercedes,cls550,200,280,100,150,180,260
350,Other,Mercedes,E43,200,280,100,150,180,260
351,2021,Mercedes,E 300,200,280,100,150,175,260
352,Other,Mercedes,E 300,200,280,100,150,180,260
353,Other,Mercedes,E 320,225,325,100,150,200,300
354,Other,Mercedes,E 350,200,280,100,150,180,260
355,2010,Mercedes,E350 coupe,200,300,100,150,180,260
356,Other,Mercedes,E 350 convertible,200,280,100,150,180,260
357,Other,Mercedes,E400,225,325,100,150,200,300
358,Other,Mercedes,E450,200,300,100,150,180,230
359,Other,Mercedes,E53,180,280,100,150,170,260
360,Other,Mercedes,EQB,330,430,100,150,280,380
361,Other,Mercedes,EQE,330,430,120,170,260,360
362,Other,Mercedes,EQS,330,430,120,170,260,360
363,Other,Mercedes,EQS 450,330,430,120,170,280,380
364,Other,Mercedes,EQV,330,430,120,170,280,380
365,Other,Mercedes,G-Wagon,325,425,120,170,275,375
366,Other,Mercedes,GL 350,300,400,100,150,260,350
367,Other,Mercedes,GLA,225,325,100,150,195,275
368,2024,Mercedes,GLA 250,250,350,100,150,225,325
369,Other,Mercedes,GLB,260,360,120,170,220,320
370,Other,Mercedes,GLC 300 coupe,260,360,100,150,220,320
371,Other,Mercedes,Maybach GLC 600,330,430,170,200,290,390
372,Other,Mercedes,GLE 53 AMG  coupe,330,430,100,150,280,280
373,Other,Mercedes,GLE 350,260,360,100,150,225,300
374,2010,Mercedes,GLK 350,260,360,100,150,220,320
375,Other,Mercedes,GLS 450,330,430,120,170,280,350
376,Other,Mercedes,GLS 580,330,430,170,200,300,400
377,Other,Mercedes,Metris,300,400,170,200,260,340
378,Other,Mercedes,MPV,300,400,120,170,260,340
379,Other,Mercedes,s450,260,360,170,200,200,300
380,Other,Mercedes,s550,260,360,170,200,200,300
381,Other,Mercedes,s560,260,360,170,200,200,300
382,Other,Mercedes,s560 coupe,240,340,170,200,200,280
383,Other,Mercedes,S580,260,360,170,200,200,300
384,Other,Mercedes,s63,260,360,170,200,200,300
385,Other,Mercedes,s63 coupe,240,340,100,150,170,300
386,Other,Mercedes,S 650 Maybach,275,375,170,200,200,300
387,Other,Mercedes,SL450,240,340,100,150,200,275
388,Other,Mercedes,SL 550,240,340,100,150,200,275
389,Other,Mercedes,SLK 300,180,280,100,150,130,200
390,2019,Mercedes,Sprinter,500,600,170,220,400,500
391,Other,Mini,Cooper,200,280,100,150,170,260
392,2012,Mini Cooper,countryman,225,325,100,150,175,250
393,2017,Mini cooper,clubman,225,325,100,150,200,300
394,Other,Mitsubishi,Eclipse,180,280,100,150,130,200
